epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.972,1.06863,0.78576,1.00609,0.90754,0.94606,0.98754,0.75948,0.96952,0.68155,0.98652,0.000492532,0.000492532,0.000492532
43,163.614,1.06764,0.77474,1.03304,0.88185,0.96798,0.98684,0.71853,0.97415,0.64485,0.98652,0.000490204,0.000490204,0.000490204
44,167.133,0.9309,0.76422,0.89326,0.876,0.95803,0.98667,0.74697,0.95305,0.64732,0.97891,0.000487875,0.000487875,0.000487875
45,170.652,0.98699,0.69166,0.98208,0.89953,0.95403,0.98729,0.76153,0.90969,0.60317,0.9655,0.000485547,0.000485547,0.000485547
46,174.232,0.96686,0.76633,1.00733,0.90754,0.92515,0.98609,0.75002,0.92242,0.61733,0.96939,0.000483218,0.000483218,0.000483218
47,177.781,0.85331,0.74517,0.87349,0.91618,0.96299,0.98332,0.77568,0.87009,0.58268,0.9446,0.00048089,0.00048089,0.00048089
48,181.436,0.88253,0.80741,0.88797,0.91317,0.92524,0.97506,0.73747,0.97294,0.62854,0.98306,0.000478561,0.000478561,0.000478561
49,184.984,0.93723,0.668,0.98435,0.90308,0.94265,0.98009,0.76637,0.95264,0.64142,0.97587,0.000476233,0.000476233,0.000476233
50,188.582,1.12317,0.74634,1.0303,0.92294,0.96783,0.98987,0.73368,0.91795,0.6218,0.96405,0.000473904,0.000473904,0.000473904
51,192.299,0.94484,0.64441,0.97664,0.90457,0.95225,0.98966,0.75397,0.92272,0.59135,0.9576,0.000471576,0.000471576,0.000471576
52,195.979,1.0639,0.69285,1.0112,0.93714,0.97335,0.9873,0.77728,0.85364,0.56334,0.93147,0.000469248,0.000469248,0.000469248
53,199.704,1.04413,0.92209,1.06467,0.90445,0.97709,0.98453,0.74973,0.84532,0.58481,0.92405,0.000466919,0.000466919,0.000466919
54,203.305,0.95261,0.75113,0.96983,0.93303,0.97936,0.98876,0.73765,0.84492,0.56574,0.93017,0.000464591,0.000464591,0.000464591
55,206.878,0.82918,0.64991,0.86721,0.94549,0.98089,0.98781,0.7585,0.82173,0.58283,0.941,0.000462262,0.000462262,0.000462262
56,210.383,0.88011,0.6569,0.9532,0.95343,0.97798,0.99259,0.75989,0.80578,0.54682,0.93666,0.000459934,0.000459934,0.000459934
57,213.882,0.87626,0.60742,0.94551,0.94902,0.98056,0.9925,0.75738,0.86052,0.52701,0.94713,0.000457605,0.000457605,0.000457605
58,217.446,0.93004,0.61295,0.93926,0.91289,0.97254,0.98926,0.73421,0.84318,0.51406,0.93737,0.000455277,0.000455277,0.000455277
59,220.842,0.96313,0.72251,0.97178,0.91591,0.97475,0.98975,0.77201,0.76068,0.50589,0.91164,0.000452948,0.000452948,0.000452948
60,224.225,0.91138,0.68941,0.98251,0.96334,0.97092,0.99343,0.76713,0.80735,0.52955,0.9258,0.00045062,0.00045062,0.00045062
61,227.656,0.87486,0.62654,0.93565,0.95641,0.96072,0.99279,0.75849,0.79476,0.53533,0.9195,0.000448291,0.000448291,0.000448291
62,231.026,0.96815,0.6056,1.00953,0.96172,0.97648,0.99166,0.74905,0.88006,0.53131,0.94683,0.000445963,0.000445963,0.000445963
63,234.437,0.93116,0.71042,0.95639,0.96043,0.97501,0.99159,0.78198,0.81934,0.53491,0.92006,0.000443634,0.000443634,0.000443634
64,237.934,0.90409,0.59999,0.94136,0.96016,0.97348,0.99315,0.7886,0.7604,0.50242,0.90627,0.000441306,0.000441306,0.000441306
65,241.401,0.798,0.79317,0.84935,0.96484,0.98319,0.9935,0.79496,0.77474,0.49839,0.90968,0.000438977,0.000438977,0.000438977
66,244.914,0.80367,0.5859,0.93474,0.96392,0.97726,0.99335,0.80374,0.76017,0.51583,0.90656,0.000436649,0.000436649,0.000436649
67,248.429,0.8296,0.61694,0.95078,0.97306,0.97495,0.99317,0.81328,0.73936,0.50713,0.89494,0.00043432,0.00043432,0.00043432
68,251.909,0.82884,0.6211,0.99266,0.95888,0.99175,0.99332,0.79926,0.77443,0.51381,0.9082,0.000431992,0.000431992,0.000431992
69,255.568,0.89433,0.67726,1.04517,0.95453,0.99072,0.99326,0.80967,0.74239,0.49009,0.9082,0.000429663,0.000429663,0.000429663
70,259.237,0.73097,0.83433,0.82434,0.9508,0.97964,0.99306,0.83858,0.70837,0.46512,0.89856,0.000427335,0.000427335,0.000427335
71,263.005,0.77772,0.56369,0.92425,0.95662,0.98996,0.99282,0.83155,0.73554,0.47175,0.90441,0.000425006,0.000425006,0.000425006
72,266.748,0.82932,0.59137,0.94962,0.96254,0.98401,0.9934,0.82119,0.73134,0.49502,0.90066,0.000422678,0.000422678,0.000422678
73,270.323,0.87011,0.61862,0.93913,0.96238,0.97113,0.99011,0.82336,0.68064,0.47858,0.88755,0.000420349,0.000420349,0.000420349
74,273.993,0.79811,0.54185,0.93723,0.95147,0.97541,0.98813,0.82459,0.69976,0.48384,0.88886,0.000418021,0.000418021,0.000418021
