epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49677,2.58643,10.2868,1.96931,0.00458,0.1738,0.00246,0.00079,2.24278,6.72937,1.7861,9.408e-05,9.408e-05,9.408e-05
2,8.64843,2.00063,5.48177,1.49115,0.58088,0.2903,0.30648,0.15039,1.83068,7.47325,1.44716,0.000190198,0.000190198,0.000190198
3,12.4079,1.79968,3.88855,1.3758,0.60532,0.44975,0.53423,0.31374,1.62747,3.71113,1.35972,0.000282358,0.000282358,0.000282358
4,16.0129,1.70939,3.18397,1.30872,0.67418,0.49877,0.55081,0.31324,1.60773,2.64365,1.34876,0.000370559,0.000370559,0.000370559
5,19.6293,1.60552,2.57642,1.33805,0.47079,0.76226,0.63961,0.32192,1.61818,2.02211,1.30797,0.000454802,0.000454802,0.000454802
6,23.6868,1.58044,2.2799,1.31695,0.653,0.61726,0.74914,0.43796,1.49343,2.08596,1.31301,0.000529788,0.000529788,0.000529788
7,27.387,1.50608,2.70993,1.24711,0.48088,0.7759,0.74365,0.41556,1.58792,1.83856,1.37385,0.000518146,0.000518146,0.000518146
8,30.9199,1.52892,2.0683,1.25641,0.51122,0.69314,0.71017,0.37479,1.57573,1.51561,1.3125,0.000506503,0.000506503,0.000506503
9,34.4693,1.56123,2.03227,1.30502,0.66376,0.62036,0.67475,0.35754,1.56179,1.35421,1.28944,0.000494861,0.000494861,0.000494861
10,37.9982,1.43741,1.71914,1.21832,0.79475,0.69759,0.85175,0.47266,1.494,1.14901,1.26849,0.000483218,0.000483218,0.000483218
11,41.4517,1.28706,1.76655,1.11852,0.86023,0.69742,0.89169,0.59244,1.37434,1.14288,1.21629,0.000471576,0.000471576,0.000471576
12,44.84,1.3769,1.61562,1.21245,0.78495,0.7835,0.90162,0.60606,1.40723,1.06579,1.27137,0.000459934,0.000459934,0.000459934
13,48.2456,1.39836,1.41938,1.18541,0.81213,0.73174,0.83278,0.51972,1.38105,1.14318,1.20533,0.000448291,0.000448291,0.000448291
14,51.7126,1.28549,1.36327,1.15768,0.81776,0.75951,0.86589,0.56431,1.30944,1.07957,1.17036,0.000436649,0.000436649,0.000436649
15,55.0872,1.21572,1.37526,1.07238,0.84867,0.81953,0.8755,0.61078,1.30766,0.99228,1.16804,0.000425006,0.000425006,0.000425006
16,58.5591,1.29531,1.18192,1.16347,0.82599,0.82644,0.92949,0.62769,1.28785,0.96555,1.1672,0.000413364,0.000413364,0.000413364
